product_id,group_id,group_name,img_path,product_title,product_description,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10
11,1,Ventilatör Ürünleri,../urun-resimleri/ventilator-1.png,Ventilator Cihazı, Ventilatör cihazı, yüksek performanslı, tıbbi ortamlar için tasarlanmış, solunum desteği sağlayan medikal cihaz., "Yüksek performanslı ventilasyon", "Bütün tıbbi cihaz güvenlik sertifikalarına sahip", "Hastanelerde ve kliniklerde kullanılabilir", "", "", "", "", ""
27,2,EKG Ürünleri,../urun-resimleri/konkauc.png,KBB için Konya Uçları, KBB uygulamaları için özel tasarlanmış Konya uçları, "Yüksek hassasiyet", "KBB tedavisine uygun", "Kolay kullanım", "Uzun ömürlü", "", "", "", "", ""
31,3,Hastabaşı Monitor Ürünleri,../urun-resimleri/monitor.png,Hastabaşı Monitörü,Her Markaya Uyumlu,"ECG, HR, NIPB, Sp02 PR, (Pulse Rate) Temp, Probe",Lithium Pil,12.1" Led Ekran,Aritmi Analizi,ST Segment Analizi,Doz Hesaplama,2000 NIBP'ye kadar geçmiş ölçüm izleme,200 Alarm durumu izleme,1000 saatlik trend geçmişi izleme,-- Opsiyonel Özellikler --,Printer,Dokunmatik Ekran,"EtCo2, 2 IBP",Taşıma Arabası,Wi-Fi Modülü
32,3,Hastabaşı Monitor Ürünleri,../urun-resimleri/monitoraksesuar1.png,Hastabaşı Monitörü Aksesuarları, Hastabaşı monitörleri için uyumlu, kaliteli aksesuarlar., "Yüksek kalite bağlantı kabloları", "Kolay montaj", "Çeşitli monitör modelleri ile uyumlu", "Dayanıklı malzeme", "", "", "", "", ""
33,3,Hastabaşı Monitor Ürünleri,../urun-resimleri/monitoraksesuar2.png,Hastabaşı Monitörü Aksesuarları, Hastabaşı monitör cihazlarına uygun aksesuarlar, cihazların işlevselliğini artıran ekipmanlar., "Yüksek dayanıklılık", "Her hastabaşı monitörü ile uyumlu", "Ergonomik tasarım", "Kolay kullanım", "", "", "", "", ""
34,3,Hastabaşı Monitor Ürünleri,../urun-resimleri/monitoraksesuar3.png,Hastabaşı Monitörü Aksesuarları, Hastabaşı monitörleri için çeşitli aksesuarlar, medikal ekipmanların uzun ömürlü kullanımını sağlayan ürünler., "Uzun ömürlü kullanım", "Kolay temizlenebilir yüzey", "Hastanelerde yaygın kullanım", "", "", "", "", ""
41,4,EKG Cihazları,../urun-resimleri/ekg.png,EKG Cihazı 3/12 Kanal,,5.6 Led Ekran,Lead Statüsü Gösterme,"Sayısal Klavye,Gece Kullanımı için Arka Işık Tasarımı",Otomatik ölçüm ve yorumlama,Dahili bellekte 300 elektrokradiyogram,Ritim Bozukluğu analizi,120 saniyede 12-lead dalga formları gözden geçirebilir ve kaydedebilir,210mm Z-katlı termal kayıt kağıdı,USB portu ile harici yazıcı ve veri iletimi desteği,Opsiyonel EKG çalışma istasyonu
42,4,EKG Cihazları,../urun-resimleri/mandalpuar.png,Mandal ve Puar Seti, EKG cihazları için mandal ve puar seti, yüksek kaliteli ve dayanıklı, "Yüksek dayanıklılık", "Kolay kullanım", "Ergonomik tasarım", "Her türlü EKG cihazıyla uyumlu", "", "", "", "", ""
43,4,EKG Cihazları,../urun-resimleri/timsahadaptor.png,EKG Snap Adaptörler Timsah, EKG cihazları için timsah şeklinde snap adaptörler, "Yüksek iletkenlik", "Pratik kullanım", "Çeşitli EKG cihazlarıyla uyumlu", "Dayanıklı malzeme", "", "", "", "", ""
44,4,EKG Cihazları,../urun-resimleri/citcitadaptor.png,EKG Snap Adaptörler Çıtçıt, EKG cihazlarına bağlanabilen çıtçıt adaptörler, "Kolay bağlantı", "Uzun ömürlü", "Yüksek kaliteli malzeme", "Her türlü EKG cihazıyla uyumlu", "", "", "", "", ""
45,4,EKG Cihazları,../urun-resimleri/ekgkablosu.png,EKG Kablosu, EKG cihazlarıyla uyumlu, yüksek kaliteli kablo, "Yüksek iletkenlik", "Esnek yapı", "Yüksek dayanıklılık", "Kolay montaj", "", "", "", "", ""
51,5,Cerrahi Aspiratörler,../urun-resimleri/aspirator.png,Cerrahi ve Portable Aspiratör,,"Kolay taşıma, ergonomik dizayn",Aksesuarlar için özel bölüm,Vakum indikaötür,Çift aspirasyon girişi,Silikon otoklavlanabilir hortum seti,Antistatik frenli tekerlekler,"2, 3, 5 litrelik kavanoz kombinasyonları",Kavanoz seçimi,Ayarlanabilir vakum gücü (maks) 0.90 Bar / 90 Kpa / 576mmHG,Hava akışı 60 l/dk,Sessiz ve bakım gerektirmeyen yağsız tip pompa,Samandıra sistemi ve hidrofobik filtre,-- Opsiyonel --,"Entegre ayak pedalı sistemi sayesinde doğum operasyonlarında kullanılmaya uygun vakum ektraksiyon özelliği ve isteğe bağlı ektraksiyon aksesuarları, kanuül seti ve vakum çanı"
52,5,Cerrahi Aspiratörler,../urun-resimleri/aspirator2.png,Cerrahi ve Portable Aspiratör,2 Lt otoklavlanabilir kavanoz,36 l/dk yüksek emiş gücü,Antibakteriyel hidrofobik filtre,Silikon otoklavnabilir hortum seti,Batarya göstergesi,Vakum indikatörü (kPa&Bar),Vakum regülatörü,Overflow valf sistemi,Dahili şarj edilebilir batarya,AC/DC Adaptör,12V araç şarjı,Saatlerde durmaksızın çalışma imkanı,Hafif gövde, kolay taşıma,ORAL NASAL ve trakestomy aspirasyon için uygundur,Yetişkin  ve çocuk kullanımı,Acil-minör cerrahi uygulamaları için ideal
53,5,Cerrahi Aspiratörler,../urun-resimleri/aspirator3.png,Cerrahi ve Portable Aspiratör,2 Lt otoklavlanabilir kavanoz,36 l/dk yüksek emiş gücü,Antibakteriyel hidrofobik filtre,Silikon otoklavnabilir hortum seti,Batarya göstergesi,Vakum indikatörü (kPa&Bar),Vakum regülatörü,Overflow valf sistemi,Dahili şarj edilebilir batarya,AC/DC Adaptör,12V araç şarjı,Saatlerde durmaksızın çalışma imkanı,Hafif gövde, kolay taşıma,ORAL NASAL ve trakestomy aspirasyon için uygundur,Yetişkin  ve çocuk kullanımı,Acil-minör cerrahi uygulamaları için ideal
54,5,Cerrahi Aspiratörler,../urun-resimleri/aspirator4.png,Cerrahi ve Portable Aspiratör,,"Kolay taşıma, ergonomik dizayn",Aksesuarlar için özel bölüm,Vakum indikaötür,Çift aspirasyon girişi,Silikon otoklavlanabilir hortum seti,Antistatik frenli tekerlekler,"2, 3, 5 litrelik kavanoz kombinasyonları",Kavanoz seçimi,Ayarlanabilir vakum gücü (maks) 0.90 Bar / 90 Kpa / 576mmHG,Hava akışı 60 l/dk,Sessiz ve bakım gerektirmeyen yağsız tip pompa,Samandıra sistemi ve hidrofobik filtre,-- Opsiyonel --,"Entegre ayak pedalı sistemi sayesinde doğum operasyonlarında kullanılmaya uygun vakum ektraksiyon özelliği ve isteğe bağlı ektraksiyon aksesuarları, kanuül seti ve vakum çanı"
61,6,Yeni Doğan Grubu,../urun-resimleri/nts.png,NTS Cihazı,,'5.6" Katlanabilir,TFT-LCD ekran',12 saat hafıza ile NST verilerine ulaşma imkanı,Dalgaformu ve numerik verilerin eşzamanlı gösterimi,1 mhz su dirençli FHR probu,İkiz FHR takibinde Sinyal Örtüşme Doğrulaması,Otomatik ve manuel fetal hareket tespiti (AFM/MFM),Su dirençli TOCO probu,Dahili termal yazıcı (Z-Fold yazıcı kağıdı - 150 mm),3/7 saat dahili şarj edilebilir batarya,Hafızadaki traselerin hızlı yazdırılması,Trase ilerletme,"Hafif, taşınabilir, kompakt tasarım"
62,6,Yeni Doğan Grubu,../urun-resimleri/ntsaksesuar1.png,NTS Cihaz Aksesuarları, Yeni doğan bakımında kullanılan NTS cihaz aksesuarları, "Yüksek kalite", "Güvenilir performans", "Yeni doğan yoğun bakımda ideal", "Kolay kullanım", "Çeşitli NTS cihazlarıyla uyumlu", "", "", "", "", ""
63,6,Yeni Doğan Grubu,../urun-resimleri/ntsaksesuar2.png,NTS Cihaz Aksesuarları, NTS cihazlarına uygun aksesuarlar, "Yüksek performans", "Bebeğin sağlığını destekleyen tasarım", "Kolay montaj", "Dayanıklı malzeme", "Yeni doğan birimleri için özel tasarım", "", "", "", "", ""
64,6,Yeni Doğan Grubu,../urun-resimleri/ntsaksesuar3.png,NTS Cihaz Aksesuarları, NTS cihaz aksesuarları, "Yüksek kaliteli malzeme", "Ergonomik kullanım", "Yeni doğan yoğun bakım için tasarlanmış", "Kolay temizlenebilir", "Bebeğin rahatını artıran yapılar", "", "", "", "", ""
65,6,Yeni Doğan Grubu,../urun-resimleri/ntsaksesuar4.png,NTS Cihaz Aksesuarları, Yeni doğan bakımında kullanılan NTS cihaz aksesuarları, "Uzun ömürlü", "Hassas bakım için özel tasarım", "Kolay kullanım ve montaj", "Güvenli ve sağlıklı ortam sağlayan malzemeler", "Bebeğin sağlığına dost", "", "", "", "", ""
66,6,Yeni Doğan Grubu,../urun-resimleri/kuvoz.png,Küvöz Cihazı,,Kontrol Paneli,Sıcaklık Kontrolü,Servo Nemlendirme Sistemi,Yatak ve Yatak açılandırma (Trendelenburg),Trend izleme,Ana Kucağı Modu (Hava Perdesi),Bebeğe Özel Sıcaklık ve Nem Değeri Algoritması,360 derece dönebilen çekmeceler,-- Opsiyonel --,Servo,Terazi,Dokunmatik TFT LCD yan ekran,Küvöz yükseklik ayarı,Masimo Rainbow Pulseoksimetre özelliği,Non Invasiv basıncı
67,6,Yeni Doğan Grubu,../urun-resimleri/fototerapi.png,Fototerapi Cihazı,,Dokunmatik renki ekran ile kolay kullanım,"Ergonomik kullanıcı Arayüzü, estetik tasarım",5 kademeli ışık yoğunluğu belirleme,Hızlı uygulama başlatma ve sonlandırma,Tedavi süresi belirleme ve sıfırlama,Otomatik tedavi sonlandırma,Düşük enerji tüketimi,Fan gerektirmeyen LED teknolojisi ile sessiz çalışma,Ayrı ayrı çalıştırılabilir alt ve üst ışık kaynağı bölümleri,Türkçe/İngilizce/Almanca/İtalyanca dil seçeği,Hava sıcaklığı ve cilt sıcaklığı göstergesi,"Sağlam, güvenli dörtlü ayak sistemi",Dışarıya çekilebilir hamak sistemi ile bebeğe kolay güvenli müdahale olanağı,Hamak ünitesinin dışarı çekilmesi ile tedavinin duraklatılması,LED kullanım ömrü göstergesi,Görsel ve işitsel alarmlar
68,6,Yeni Doğan Grubu,../urun-resimleri/fototerapi2.png,Fototerapi Cihazı,,Dokunmatik renki ekran ile kolay kullanım,"Ergonomik kullanıcı Arayüzü, estetik tasarım",5 kademeli ışık yoğunluğu belirleme,Hızlı uygulama başlatma ve sonlandırma,Tedavi süresi belirleme ve sıfırlama,Otomatik tedavi sonlandırma,Düşük enerji tüketimi,Fan gerektirmeyen LED teknolojisi ile sessiz çalışma,Ayrı ayrı çalıştırılabilir alt ve üst ışık kaynağı bölümleri,Türkçe/İngilizce/Almanca/İtalyanca dil seçeği,Hava sıcaklığı ve cilt sıcaklığı göstergesi,"Sağlam, güvenli dörtlü ayak sistemi",Dışarıya çekilebilir hamak sistemi ile bebeğe kolay güvenli müdahale olanağı,Hamak ünitesinin dışarı çekilmesi ile tedavinin duraklatılması,LED kullanım ömrü göstergesi,Görsel ve işitsel alarmlar
69,6,Yeni Doğan Grubu,../urun-resimleri/yenidoganpanel.png,Kontrol Paneli,,"Klinisyenler Tende Babyblue 360'ın renkli dokunmatik ekranından ışık gücünü, tedavi süresini belirleyebilir, yapılan ve ya kalan tedavi süresini ve bebeğin cilt sıcaklığını aynı anda izleyebilir",
71,7,Oksijen Flowmetreleri / Negatif Basınç Ölçerler,../urun-resimleri/flowmetre.png,Oksijen Flowmetre, "Oksijen alımını doğru ölçen cihaz", "Yüksek hassasiyet", "Kullanıcı dostu tasarım", "Sağlık profesyonelleri için ideal", "Kolay kullanım ve doğru ölçüm", "", "", "", "", ""
72,7,Oksijen Flowmetreleri / Negatif Basınç Ölçerler,../urun-resimleri/vakumregulator.png,Vakum Regülatörleri, "Vakum basıncını stabilize eden regülatörler", "Yüksek güvenilirlik", "Kullanıcı dostu ayar mekanizması", "Sağlık alanında kritik öneme sahip", "Dayanıklı ve uzun ömürlü malzeme", "", "", "", "", ""
73,7,Oksijen Flowmetreleri / Negatif Basınç Ölçerler,../urun-resimleri/jak1.png,Hava/Oksijen/Vakum/Gaz Bağlantı Jakları, "Çeşitli gaz bağlantı noktaları için jaklar", "Yüksek kaliteli bağlantı", "Çeşitli cihazlarla uyumlu", "Kolay kurulum", "Endüstriyel ve sağlık alanında kullanılabilir", "", "", "", "", ""
74,7,Oksijen Flowmetreleri / Negatif Basınç Ölçerler,../urun-resimleri/vakumregulator2.png,Vakum Regülatörleri, "Vakum regülatörleri için gelişmiş model", "Kapsamlı ayar seçenekleri", "Uzun süreli kullanım için dayanıklı yapı", "Hızlı vakum düzenlemesi", "Sağlık sektöründe yüksek verimli kullanım", "", "", "", "", ""
76,7,Oksijen Flowmetreleri / Negatif Basınç Ölçerler,../urun-resimleri/jak3.png,Hava/Oksijen/Vakum/Gaz Bağlantı Jakları, "Çoklu gaz bağlantı jakları", "Esnek kullanım", "Hızlı ve güvenli bağlantılar", "Çeşitli ekipmanlarla uyumlu", "Sağlık sektörü ve endüstriyel kullanım için uygun", "", "", "", "", ""
81,8,Veteriner Grubu,../urun-resimleri/veterinermasa.png,Makaslı Veteriner Masası,,Elektrikli Veteriner Muayene Masası,304 kalite paslanmaz çelik tabladan üretilmiştir,Alt şase elektrostatik toz boyalıdır,Trendelenburg hareketi yapmaktadır,Askı yuvası ve askısı mevcuttur,Atık su gideri vardır,İp bağlama yerleri mevcuttur,Genişlik:63 cm,Uzunluk:135cm,Yükseklik:90cm
82,8,Veteriner Grubu,../urun-resimleri/veterinermasa2.png,Makaslı Veteriner Masası,,Elektrikli Veteriner Muayene Masası,304 kalite paslanmaz çelik tabladan üretilmiştir,Alt şase elektrostatik toz boyalıdır,Trendelenburg hareketi yapmaktadır,Askı yuvası ve askısı mevcuttur,Atık su gideri vardır,İp bağlama yerleri mevcuttur,Genişlik:63 cm,Uzunluk:135cm,Yükseklik:90cm
83,8,Veteriner Grubu,../urun-resimleri/veterinermasa3.png,Makaslı Veteriner Masası,,Elektrikli Veteriner Muayene Masası,304 kalite paslanmaz çelik tabladan üretilmiştir,Alt şase elektrostatik toz boyalıdır,Trendelenburg hareketi yapmaktadır,Askı yuvası ve askısı mevcuttur,Atık su gideri vardır,İp bağlama yerleri mevcuttur,Genişlik:63 cm,Uzunluk:135cm,Yükseklik:90cm
84,8,Veteriner Grubu,../urun-resimleri/motorcesitleri.png,Motor Çeşitleri, "Veteriner ekipmanlarında farklı motor seçenekleri", "Yüksek performanslı motorlar", "Çeşitli uygulamalara uygun", "Dayanıklı ve uzun ömürlü", "Veteriner cihazlarında üstün verimlilik", "", "", "", "", ""
85,8,Veteriner Grubu,../urun-resimleri/elkumandasi.png,El Kumandası, "Veteriner cihazları için ergonomik el kumandası", "Hızlı kontrol ve kullanım kolaylığı", "Yüksek hassasiyet", "Çeşitli cihazlarla uyumlu", "Veteriner alanında profesyonel kullanım için ideal", "", "", "", "", ""
91,9,Paslanmaz Grubu,../urun-resimleri/acilaraba1.png,Acil Müdahale Arabası, "Hızlı müdahale için dayanıklı acil müdahale arabası", "Paslanmaz çelik yapı", "Acil durumlarda yüksek taşıma kapasitesi", "Kolay taşıma ve düzenleme", "Sağlık kuruluşlarında etkin kullanım", "", "", "", "", ""
92,9,Paslanmaz Grubu,../urun-resimleri/acilaraba2.png,Acil Müdahale Arabası, "Paslanmaz çelikten üretilen acil müdahale arabası", "Sağlam ve güvenli yapı", "Acil durumlar için tasarlanmış işlevsel düzenleme alanları", "Hızlı ve güvenli taşınabilirlik", "Sağlık profesyonelleri için ideal çözüm", "", "", "", "", ""
93,9,Paslanmaz Grubu,../urun-resimleri/anesteziaraba.png,İlaç ve Anestezi Arabası, "İlaç ve anestezi ekipmanlarını taşıyan paslanmaz araba", "Geniş depolama alanı", "Anestezi işlemleri için yüksek düzenleme kapasitesi", "Hızlı ve güvenli taşınabilirlik", "Hastaneler ve klinikler için ideal", "", "", "", "", ""
94,9,Paslanmaz Grubu,../urun-resimleri/anesteziaraba2.png,İlaç ve Anestezi Arabası, "Anestezi ve ilaç taşıma arabası", "Paslanmaz çelik dayanıklılığı", "Kritik tıbbi ekipmanların güvenli taşınması", "Ergonomik tasarım", "Sağlık kurumları için yüksek verimlilik", "", "", "", "", ""
101,10,Bipolar Monopolar ve Nötr Plak Koter Kabloları,../urun-resimleri/pensetkablo.png,Marka Bağımsız Bipolar Kama (EUROPAN) Penset Kabloları, "Bipolar elektrokoter için yüksek kaliteli penset kablosu", "EUROPAN uyumlu", "Hassas ve güvenilir kesim performansı", "Marka bağımsız, geniş cihaz uyumluluğu", "Cerrahi uygulamalarda etkili sonuçlar", "", "", "", "", ""
102,10,Bipolar Monopolar ve Nötr Plak Koter Kabloları,../urun-resimleri/pensetkablo2.png,Marka Bağımsız Bipolar Kama (EUROPAN) Penset Kabloları, "EUROPAN cihazları için uygun bipolar kama penset kablosu", "Yüksek iletkenlik", "Cerrahi işlemlerde güvenilir performans", "Dayanıklı yapı", "Farklı cihazlarla uyumlu kullanım", "", "", "", "", ""
103,10,Bipolar Monopolar ve Nötr Plak Koter Kabloları,../urun-resimleri/pensetkablo3.png,Marka Bağımsız Bipolar İğne (USA) Penset Kabloları, "USA uyumlu bipolar iğne penset kablosu", "Cerrahi işlemlerde hassasiyet ve kontrol", "Bipolar elektrokoterle uyumlu", "Geniş kullanım alanı", "Sertifikalı, güvenli ve dayanıklı", "", "", "", "", ""
104,10,Bipolar Monopolar ve Nötr Plak Koter Kabloları,../urun-resimleri/pensetkablo4.png,Marka Bağımsız Bipolar İğne (USA) Penset Kabloları, "Yüksek performanslı bipolar iğne penset kablosu", "USA uyumlu", "Cerrahi uygulamalarda güvenilir ve etkili sonuçlar", "Dayanıklı malzeme", "Kolay kullanım ve uzun ömürlü", "", "", "", "", ""
105,10,Bipolar Monopolar ve Nötr Plak Koter Kabloları,../urun-resimleri/laparoskopi.png,Marka Bağımsız Monopolar Laparoskopi Penset Kabloları, "Laparoskopik cerrahi için monopolar penset kablosu", "Marka bağımsız kullanım", "Laparoskopik cihazlarla uyumlu", "Yüksek kaliteli malzeme", "Hassas cerrahi müdahaleler için ideal", "", "", "", "", ""
106,10,Bipolar Monopolar ve Nötr Plak Koter Kabloları,../urun-resimleri/laparoskopi2.png,Marka Bağımsız Monopolar Laparoskopi Penset Kabloları, "Monopolar laparoskopik penset kablosu", "Cerrahi işlemler için güvenilir", "Dayanıklı, esnek yapı", "Kolay kullanım ve uzun ömür", "Laparoskopik cerrahi alanında profesyonel kullanım", "", "", "", "", ""
107,10,Bipolar Monopolar ve Nötr Plak Koter Kabloları,../urun-resimleri/laparoskopi3.png,Marka Bağımsız Monopolar Laparoskopi Penset Kabloları, "Monopolar laparoskopik penset kablosu", "Yüksek kaliteli, esnek yapı", "Hassas cerrahi müdahaleler için uyumlu", "Laparoskopik cihazlarla tam uyum", "Uzun süreli kullanım ve dayanıklılık", "", "", "", "", ""
108,10,Bipolar Monopolar ve Nötr Plak Koter Kabloları,../urun-resimleri/notrplak.png,Nötr Plak Ara Kabloları, "Nötr plak ara kablosu", "Bipolar elektrokoter sistemleriyle uyumlu", "Cerrahi işlemlerde güvenli ve hızlı bağlantı", "Dayanıklı ve uzun ömürlü", "Farklı elektrokoter cihazlarıyla uyumlu", "", "", "", "", ""
109,10,Bipolar Monopolar ve Nötr Plak Koter Kabloları,../urun-resimleri/notrplak2.png,Nötr Plak Ara Kabloları, "Nötr plak ara kablosu", "Yüksek kalite, güvenilir bağlantı", "Elektrokoter sistemlerinde uyumlu kullanım", "Dayanıklı ve sağlam yapı", "Kolay bağlantı ve hızlı kullanım", "", "", "", "", ""
111,11,Bipolar Kama (EUROPEN) Soket Forceps,../urun-resimleri/soketforceps.png,Bipolar Kama (EUROPEN) Soket Forceps, "EUROPAN uyumlu bipolar kama soket forceps", "Cerrahi uygulamalarda güvenilir tutuş", "Yüksek kaliteli malzeme", "Bipolar elektrokoterle uyumlu", "Dayanıklı ve uzun ömürlü kullanım", "", "", "", "", ""
112,11,Bipolar Kama (EUROPEN) Soket Forceps,../urun-resimleri/soketforceps2.png,Bipolar Kama (EUROPEN) Soket Forceps, "EUROPAN cihazlarıyla uyumlu soket forceps", "Bipolar elektrokoterle sorunsuz uyum", "Hassas cerrahi uygulamalar için ideal", "Esnek ve dayanıklı yapı", "Kolay kullanım ve uzun ömürlü performans", "", "", "", "", ""
113,11,Bipolar Kama (EUROPEN) Soket Forceps,../urun-resimleri/soketforceps3.png,Bipolar İğne (USA) Soket Forceps, "USA uyumlu bipolar iğne soket forceps", "Cerrahi işlemler için hassas tutuş", "Bipolar elektrokoter cihazlarıyla uyumlu", "Yüksek kalite ve dayanıklılık", "Farklı cihazlarla kolayca uyum sağlar", "", "", "", "", ""
114,11,Bipolar Kama (EUROPEN) Soket Forceps,../urun-resimleri/soketforceps4.png,Bipolar İğne (USA) Soket Forceps, "USA uyumlu bipolar iğne soket forceps", "Cerrahi alanlarda güvenli ve etkili kullanım", "Yüksek kaliteli malzeme ve dayanıklılık", "Bipolar elektrokoter sistemleriyle uyumlu", "Kolay kullanımlı ve uzun ömürlü", "", "", "", "", ""
121,12,Laringoskop Setleri,../urun-resimleri/lset1.png,Modüler Fiber Optik Laringoskop Seti, "Modüler fiber optik laringoskop seti", "Yüksek kaliteli fiber optik ışık", "Modüler yapısıyla kolay kullanım", "Cerrahi müdahalelerde güvenilir görüntü", "Laringoskopik işlemlerde yüksek performans", "", "", "", "", ""
122,12,Laringoskop Setleri,../urun-resimleri/lset2.png,Modüler Fiber Optik Laringoskop Seti, "Fiber optik modüler laringoskop seti", "Yüksek çözünürlüklü görüntüleme", "Modüler yapıda kolayca monte edilir", "Cerrahi operasyonlarda etkili ışık sağlama", "Profesyonel kullanıma uygun", "", "", "", "", ""
123,12,Laringoskop Setleri,../urun-resimleri/lset3.png,Modüler Fiber Optik Laringoskop Seti, "Modüler fiber optik laringoskop seti", "Pratik montaj ve kullanım", "Yüksek kaliteli fiber optik aydınlatma", "Laringoskopik muayene için güvenilir", "Kullanıcı dostu tasarım", "", "", "", "", ""
124,12,Laringoskop Setleri,../urun-resimleri/lset4.png,Konvansiyonel Fiber Optik Laringoskop Seti, "Konvansiyonel fiber optik laringoskop seti", "Gelişmiş fiber optik ışık kaynağı", "Konvansiyonel laringoskop uygulamaları için ideal", "Hafif ve ergonomik tasarım", "Kolay kullanım, profesyonel sonuçlar", "", "", "", "", ""
125,12,Laringoskop Setleri,../urun-resimleri/lset5.png,Konvansiyonel Fiber Optik Laringoskop Seti, "Konvansiyonel fiber optik laringoskop seti", "Yüksek kaliteli fiber optik ışık", "Sabit ve güvenilir görüntüleme", "Cerrahi işlemlerde güçlü ışık kaynağı", "Kolay taşınabilir ve kullanışlı", "", "", "", "", ""
126,12,Laringoskop Setleri,../urun-resimleri/lset6.png,Flexible Fiber Optik Laringoskop Seti, "Esnek fiber optik laringoskop seti", "Esnek yapısıyla kolay kullanım", "Yüksek çözünürlükte ışık", "Sıkıntılı alanlarda kolay erişim", "Cerrahi ve acil müdahaleler için uygun", "", "", "", "", ""
131,13,Laringoskop Setleri,../urun-resimleri/laringoskop1.png,Laringoskop Setleri, "Profesyonel laringoskop seti", "Laringoskopik muayene ve müdahalelere uygun", "Yüksek kaliteli fiber optik ışık", "Ergonomik ve hafif tasarım", "Kullanımı kolay, güvenilir performans", "", "", "", "", ""
132,13,Laringoskop Setleri,../urun-resimleri/laringoskop2.png,Laringoskop Setleri, "Laringoskop seti", "Fiber optik ışıkla yüksek çözünürlük", "Cerrahi işlemler için güvenilir sonuçlar", "Ergonomik ve hafif kullanım", "Kolayca taşınabilir ve pratik", "", "", "", "", ""
133,13,Laringoskop Setleri,../urun-resimleri/laringoskop3.png,Laringoskop Setleri, "Laringoskop seti", "Yüksek kaliteli fiber optik ışık kaynağı", "Cerrahi müdahalelerde güvenilir performans", "Hafif ve pratik tasarım", "Kolay taşınabilir", "", "", "", "", ""
